channel	date	total_viewership_hours
GOBX Marhaba	2024-01-07	26.066666666666467
MBC1 HD	2024-01-07	23.983333333333253
MBC Action	2024-01-07	23.866666666666593
Saudi 1 HD	2024-01-07	20.900000000000095
MBC2	2024-01-07	14.666666666666975
MBC Max HD	2024-01-07	11.600000000000156
ALSahraa HD	2024-01-07	11.000000000000126
MBC1	2024-01-07	6.016666666666651
MBC Drama	2024-01-07	4.983333333333321
SAUDI CH For Quran HD	2024-01-07	3.483333333333326
SAUDI CH For Sunnah HD	2024-01-07	3.26666666666666
MBC3	2024-01-07	3.1999999999999935
MBC IRAQ	2024-01-07	2.7833333333333283
SSC 5 HD	2024-01-07	2.199999999999997
Al Nahar Drama	2024-01-07	2.0999999999999974
MBC2 HD	2024-01-07	1.3333333333333335
Al Jadeed	2024-01-07	0.9000000000000011
MBC+ Drama  HD	2024-01-07	0.733333333333334
SBC HD	2024-01-07	0.6000000000000002
SSC News HD	2024-01-07	0.3333333333333333
MBC MAX	2024-01-07	0.26666666666666666
SSC Extra 2 HD	2024-01-07	0.18333333333333332
MBC4	2024-01-07	0.09999999999999999
Qatar QBS Radio	2024-01-07	0.08333333333333333
Dubai TV	2024-01-07	0.06666666666666667
Dubai One	2024-01-07	0.05
Nile Drama	2024-01-07	0.05
CITRUSS TV	2024-01-07	0.016666666666666666
Al Hadath	2024-01-07	0.016666666666666666
MBC Masr	2024-01-07	0.016666666666666666
KTV 1	2024-01-07	0.016666666666666666
